aX,aY,aZ,gX,gY,gZ
0.438,0.366,0.869,3.967,-3.601,26.611

0.753,0.533,1.529,-13.733,-43.762,5.859
0.834,0.518,1.629,-4.578,-43.701,2.869
0.866,0.508,1.741,-1.160,-41.382,-2.625
0.841,0.513,1.874,-7.080,-36.743,-10.681
0.776,0.538,2.022,-21.240,-28.870,-21.545
0.668,0.571,2.162,-34.729,-17.944,-33.630
0.525,0.571,2.276,-41.992,-4.761,-45.654
0.365,0.556,2.362,-45.410,10.010,-56.396
0.201,0.501,2.456,-44.556,25.452,-65.979
0.011,0.403,2.552,-41.260,41.931,-74.646
-0.218,0.305,2.626,-37.292,61.340,-83.008
-0.507,0.237,2.653,-27.710,83.008,-90.576
-0.825,0.148,2.596,-8.240,105.957,-95.886
-1.055,-0.064,2.493,18.555,129.456,-96.558
-1.196,-0.323,2.362,39.795,152.222,-91.675
-1.330,-0.599,2.216,53.101,173.584,-81.726
-1.461,-0.870,2.058,58.899,194.336,-67.505
-1.528,-1.047,1.915,54.688,213.684,-48.706
-1.556,-1.157,1.781,51.086,231.506,-23.560
-1.594,-1.164,1.626,53.101,249.146,7.629
-1.662,-1.076,1.397,60.730,268.982,43.457
-1.697,-0.980,1.014,69.092,292.542,81.360
-1.622,-0.875,0.609,59.570,317.932,118.042
-1.579,-0.737,0.299,29.114,338.989,150.208
-1.591,-0.542,0.103,-5.066,352.905,176.819
-1.632,-0.367,-0.004,-21.912,360.657,198.730
-1.676,-0.216,-0.035,-17.395,363.647,218.079
-1.742,-0.029,-0.065,0.732,364.258,235.596
-1.811,0.179,-0.171,32.898,365.295,252.380
-1.836,0.326,-0.330,72.998,364.868,268.250
-1.853,0.411,-0.437,103.882,359.558,281.128
-1.937,0.501,-0.601,121.033,350.159,293.518
-1.968,0.562,-0.846,127.625,340.820,312.012
-1.914,0.641,-1.013,122.925,328.308,338.745
-1.942,0.773,-1.060,114.319,307.373,369.202
-2.019,0.972,-1.043,113.586,280.823,399.841
-2.078,1.168,-1.027,130.920,253.540,429.749
-2.139,1.374,-1.146,149.048,225.708,457.642
-2.007,1.645,-1.303,149.780,196.106,482.239
-1.850,1.986,-1.315,138.611,161.987,497.986
-1.850,2.304,-1.151,130.859,120.605,500.671
-1.853,2.558,-0.908,132.324,76.965,491.638
-1.796,2.755,-0.724,141.663,41.382,471.985
-1.704,2.876,-0.711,155.212,17.212,444.641
-1.637,2.996,-0.852,166.626,-2.136,413.086
-1.483,3.109,-1.024,172.791,-25.391,380.188
-1.264,3.277,-1.133,177.002,-58.411,347.412
-1.144,3.517,-1.141,172.058,-98.816,313.416
-1.150,3.747,-1.038,160.217,-140.686,275.208
-1.240,3.976,-0.867,140.320,-179.687,227.844
-1.292,4.000,-0.672,122.986,-209.961,168.213
-1.319,4.000,-0.458,115.540,-231.018,97.351
-1.203,4.000,-0.255,112.732,-244.385,16.968
-1.263,3.845,-0.187,123.840,-251.526,-62.134
-1.264,3.590,-0.107,129.822,-256.531,-134.583
-1.431,3.187,-0.156,130.920,-262.329,-198.364
-1.464,2.792,-0.113,129.150,-270.874,-248.779
-1.530,2.506,-0.069,122.192,-278.076,-287.048
-1.521,2.239,0.025,114.685,-282.959,-316.406
-1.441,2.076,0.243,87.769,-286.621,-338.013
-1.374,2.097,0.470,45.898,-285.828,-353.149
