aX,aY,aZ,gX,gY,gZ
-1.038,1.009,1.482,-35.095,269.287,-273.560
-1.027,0.700,1.350,-40.344,275.269,-284.363
-0.963,0.392,1.253,-39.795,278.992,-286.987
-0.903,0.134,1.181,-31.555,281.311,-281.067
-0.811,-0.060,1.077,-13.611,284.119,-267.212
-0.751,-0.153,0.942,11.047,288.086,-248.291
-0.736,-0.167,0.768,37.292,291.565,-226.196
-0.695,-0.158,0.519,63.904,292.847,-204.102
-0.656,-0.145,0.251,82.397,291.138,-185.303
-0.620,-0.141,-0.027,88.745,285.461,-171.692
-0.557,-0.167,-0.311,82.947,273.865,-162.292
-0.386,-0.259,-0.565,69.519,255.066,-154.297
-0.202,-0.407,-0.670,48.279,231.018,-145.935
-0.135,-0.542,-0.757,23.865,201.355,-133.484
0.006,-0.586,-0.714,-1.953,172.119,-116.028
0.145,-0.564,-0.684,-3.479,143.127,-96.741
0.219,-0.569,-0.658,12.756,113.464,-75.928
0.262,-0.466,-0.571,26.367,84.167,-55.298
0.311,-0.362,-0.459,34.058,59.509,-37.842
0.374,-0.245,-0.353,41.626,40.344,-23.560
0.432,-0.146,-0.242,45.593,26.367,-13.123
0.464,-0.054,-0.142,44.495,16.113,-5.981
0.502,0.028,-0.057,38.147,9.033,-0.488
0.563,0.095,0.029,28.748,5.310,4.089
0.617,0.158,0.091,21.118,4.272,6.775
0.638,0.200,0.126,18.555,4.700,7.385
0.689,0.234,0.132,17.334,5.676,7.080
0.710,0.245,0.113,18.433,5.615,6.409
0.724,0.247,0.078,20.325,3.845,6.592
0.721,0.240,0.041,20.996,0.122,8.240
0.732,0.267,0.039,20.752,-5.676,10.986
0.735,0.284,0.057,20.386,-14.282,13.123
0.742,0.310,0.118,17.273,-24.719,14.832
0.743,0.327,0.201,14.709,-33.691,16.968
0.761,0.338,0.283,14.099,-39.978,19.104
0.776,0.362,0.368,12.268,-43.823,20.691
0.777,0.387,0.444,13.550,-46.021,21.790
0.784,0.420,0.515,17.090,-46.570,22.339
0.792,0.444,0.551,22.339,-45.593,20.935
0.736,0.423,0.586,32.043,-44.434,17.883
0.734,0.439,0.635,27.649,-41.382,14.343
0.740,0.395,0.648,24.841,-35.889,10.315
