aX,aY,aZ,gX,gY,gZ
-1.923,2.443,0.372,-20.996,16.418,9.827
-1.756,2.844,0.206,-16.663,7.446,-1.526
-1.686,3.214,0.123,8.057,-18.616,-41.016
-1.691,3.445,0.194,31.128,-55.542,-103.882
-1.736,3.506,0.300,49.438,-89.355,-176.819
-1.847,3.483,0.372,59.021,-110.046,-251.709
-2.000,3.407,0.374,61.523,-116.455,-324.707
-2.101,3.200,0.318,55.969,-115.356,-398.132
-2.265,3.071,0.289,28.625,-118.347,-474.243
-2.472,2.860,0.321,-1.099,-130.188,-548.096
-2.762,2.601,0.428,-30.457,-147.644,-617.981
-3.083,2.304,0.627,-56.702,-164.856,-679.687
-3.355,1.929,0.806,-72.632,-174.744,-732.971
-3.650,1.496,0.911,-80.383,-174.072,-777.527
-3.846,0.957,1.021,-81.360,-168.457,-810.425
-3.919,0.527,1.192,-84.961,-167.542,-826.721
-4.000,0.205,1.358,-75.378,-168.762,-826.599
-4.000,-0.214,1.478,-37.842,-164.185,-816.711
-4.000,-0.850,1.588,6.104,-153.137,-800.537
-3.996,-1.519,1.630,30.518,-139.954,-775.757
-3.652,-2.201,1.593,37.781,-123.474,-734.314
-3.095,-2.818,1.524,36.438,-106.873,-671.936
-2.406,-3.248,1.468,33.936,-97.046,-588.928
-1.839,-3.522,1.498,35.217,-92.346,-488.098
-1.476,-3.515,1.525,22.705,-86.670,-372.925
-1.376,-3.195,1.554,-19.287,-74.890,-250.488
-1.288,-2.529,1.615,-95.764,-56.274,-134.644
-1.091,-1.759,1.628,-168.091,-33.203,-38.879
-0.921,-0.947,1.562,-220.215,-9.766,28.259
-0.774,-0.181,1.420,-232.788,8.606,65.491
-0.617,0.229,1.324,-191.711,16.968,73.242
-0.634,1.061,1.270,-152.344,17.456,49.988
-0.416,0.679,0.835,-51.453,7.751,10.071
-0.508,0.499,0.812,43.396,-22.400,-34.302
-0.419,0.293,0.933,54.138,-47.913,-82.520
-0.290,-0.068,1.060,71.106,-61.218,-112.244
-0.175,-0.508,1.106,92.285,-61.096,-117.554
-0.044,-0.729,1.115,90.881,-51.392,-100.403
0.047,-0.843,1.021,77.209,-38.513,-64.819
0.107,-0.728,0.972,43.213,-26.428,-20.996
0.090,-0.464,1.005,-1.099,-17.517,20.142
0.098,-0.146,1.044,-37.048,-10.620,52.002
0.136,0.180,1.056,-51.147,-4.272,72.388
0.136,0.427,1.033,-44.800,1.038,80.261
0.117,0.609,1.010,-32.104,2.991,75.806
0.133,0.735,1.000,-18.433,2.441,62.439
0.163,0.767,0.999,-1.038,1.038,44.617
0.181,0.761,0.950,14.160,0.732,27.161
0.218,0.725,0.890,22.583,1.282,13.428
0.262,0.668,0.884,21.606,-1.038,2.747
0.256,0.573,0.930,18.311,-4.761,-4.639
0.238,0.517,0.990,14.526,-5.676,-9.399
0.241,0.428,1.001,12.878,-2.747,-10.559
0.217,0.390,1.007,10.864,2.319,-9.460
0.203,0.345,0.988,7.507,7.690,-7.751
0.177,0.328,0.955,4.150,12.207,-5.371
0.173,0.322,0.911,2.563,15.808,-3.296
0.173,0.327,0.848,5.432,17.029,-1.770
0.186,0.320,0.778,9.277,15.686,-0.732
0.215,0.323,0.740,9.766,12.085,0.793
0.246,0.323,0.728,9.460,6.958,3.662
0.250,0.332,0.750,9.094,1.526,8.301
0.244,0.367,0.801,5.920,-2.686,12.634
0.238,0.405,0.852,2.686,-4.517,15.381
0.244,0.408,0.880,2.625,-4.883,16.785
0.244,0.444,0.891,2.014,-4.639,17.822
0.232,0.483,0.886,3.357,-4.272,18.799
0.238,0.510,0.875,6.165,-4.272,17.456
0.235,0.530,0.875,8.240,-5.310,13.733
0.230,0.539,0.893,9.949,-6.287,8.728
0.222,0.549,0.907,12.329,-6.714,3.723
0.215,0.500,0.924,15.869,-5.859,-0.793
0.205,0.432,0.936,15.503,-4.028,-4.578
0.200,0.367,0.933,12.085,-1.465,-6.775
0.202,0.317,0.907,9.888,1.648,-5.981
0.216,0.309,0.876,8.728,4.395,-2.991
0.211,0.312,0.843,9.094,5.554,0.854
0.209,0.316,0.813,8.667,5.005,4.089
0.219,0.328,0.800,4.883,3.601,6.287
0.227,0.369,0.821,0.488,1.831,8.606
0.224,0.413,0.847,-0.488,-0.061,10.254
0.213,0.436,0.857,1.282,-1.343,10.254
0.223,0.458,0.853,2.991,-1.404,9.399
0.233,0.472,0.858,3.479,-1.282,8.362

-0.267,-0.807,1.634,-40.100,55.969,53.711
-0.267,-0.886,1.618,-31.128,70.374,75.928
-0.337,-0.922,1.585,-17.395,82.336,98.816
-0.396,-0.923,1.570,-8.240,90.637,119.446
-0.465,-0.942,1.642,-1.526,96.008,137.085
-0.548,-1.022,1.823,5.737,100.159,151.855
-0.650,-1.180,2.050,16.724,106.079,165.283
-0.760,-1.340,2.224,26.611,118.835,180.969
-0.868,-1.514,2.280,38.086,140.991,203.125
-1.006,-1.652,2.205,46.265,170.410,232.788
-1.129,-1.727,2.020,47.913,201.416,270.874
-1.264,-1.661,1.766,40.222,229.065,317.444
-1.428,-1.461,1.453,25.330,251.404,368.530
-1.604,-1.079,1.097,5.493,268.494,419.739
-1.836,-0.545,0.726,-13.367,279.419,467.834
-1.941,-0.022,0.405,-20.996,280.457,506.714
-1.906,0.526,0.213,-22.400,266.113,530.762
-1.954,1.054,0.145,-12.817,239.624,539.551
-1.966,1.512,0.176,12.207,209.656,534.729
-1.922,1.884,0.275,50.354,179.810,515.686
-1.933,2.086,0.434,92.834,152.893,482.056
-1.949,2.067,0.612,132.385,132.263,437.317
-1.952,1.952,0.790,161.682,121.460,393.127
-1.978,1.792,0.889,185.547,121.033,361.938
-2.037,1.704,0.894,200.195,127.502,347.046
-2.153,1.742,0.783,203.308,136.230,345.642
-2.243,2.005,0.538,199.646,143.738,352.661
-2.239,2.369,0.260,196.838,145.142,361.145
-2.298,2.284,0.058,189.575,134.216,359.253
-1.909,4.000,-0.878,134.399,77.576,234.558
-1.278,3.404,-0.084,145.630,-29.724,-65.491
-0.689,2.628,0.117,175.842,-38.147,-89.600
-1.073,2.498,0.401,166.382,-32.410,-46.997
-1.692,2.125,0.410,115.295,-24.292,5.676
-1.643,2.078,0.382,21.118,-20.020,54.688
-1.413,2.659,0.325,-59.753,-23.437,75.684
-1.415,3.271,0.316,-93.994,-35.706,48.523
-1.389,3.566,0.381,-85.083,-56.885,-23.804
-1.363,3.534,0.564,-60.547,-80.994,-124.817
-1.430,3.271,0.780,-32.410,-97.595,-229.797
-1.532,2.861,0.932,-5.432,-98.816,-318.726
-1.677,2.495,0.958,7.996,-87.708,-386.414
-1.758,2.266,0.811,3.723,-72.754,-435.791
-1.799,2.163,0.588,-4.883,-61.951,-473.572
-1.917,2.074,0.391,-9.827,-64.270,-509.399
-2.077,1.888,0.304,-21.240,-80.139,-548.767
-2.218,1.655,0.313,-47.180,-104.858,-587.830
-2.339,1.376,0.375,-75.317,-131.287,-619.568
-2.445,1.093,0.502,-97.900,-156.128,-640.686
-2.519,0.943,0.664,-110.535,-180.542,-652.405
-2.533,0.863,0.836,-103.516,-201.416,-656.250
-2.628,0.841,1.004,-76.965,-215.027,-657.349
-2.773,0.763,1.112,-35.767,-219.849,-662.781
-2.858,0.509,1.179,15.320,-216.187,-672.607
-2.949,0.130,1.225,69.336,-206.909,-682.861
-3.025,-0.353,1.317,116.333,-191.101,-687.012
-3.025,-0.968,1.415,153.687,-166.809,-680.176
-2.904,-1.809,1.435,174.072,-131.897,-657.349
-2.571,-2.696,1.386,156.738,-87.769,-610.718
-2.010,-3.382,1.250,105.408,-44.128,-531.067
-1.385,-3.697,1.063,38.391,-14.771,-419.617
-1.241,-3.559,0.939,-41.931,-4.761,-288.696
-1.100,-2.940,1.016,-132.202,-7.141,-159.058
-0.936,-2.053,1.177,-200.562,-13.855,-49.011
-0.797,-1.143,1.310,-228.394,-19.348,28.992
-0.761,-0.354,1.355,-213.257,-22.095,72.937
-0.760,0.247,1.326,-166.199,-24.536,83.984
-0.698,0.624,1.248,-106.201,-30.151,67.749
-0.590,0.818,1.286,-49.988,-39.185,32.349
-0.505,1.109,1.500,-17.883,-44.495,-14.465
-0.472,0.530,1.229,34.302,-48.279,-60.120
-0.454,0.127,1.204,65.002,-53.467,-98.633
-0.354,-0.160,1.222,78.308,-52.307,-121.094
-0.289,-0.517,1.153,84.595,-44.983,-122.620
-0.198,-0.741,1.104,78.552,-33.447,-105.957
-0.079,-0.815,1.006,62.256,-22.278,-76.721
